,open,close,high,low
2017-08-30,7173.081,7141.438,7222.655,7125.588
2017-08-31,7142.474,7079.03,7149.904,7040.257
2017-09-01,7088.383,7065.897,7125.766,7040.998
2017-09-04,7053.558,7077.198,7080.848,7020.978
2017-09-05,7079.886,7120.468,7145.706,7074.714
2017-09-06,7101.745,7087.795,7111.718,7058.017
2017-09-07,7092.483,7051.038,7101.586,7049.623
2017-09-08,7052.957,7033.715,7071.227,7020.258
2017-09-11,7048.52,7006.42,7091.49,7003.56
2017-09-12,7020.695,7041.014,7041.477,6989.482
2017-09-13,7035.797,7041.077,7059.5,7011.667
2017-09-14,7042.954,7013.295,7066.272,6995.152
2017-09-15,7002.874,7012.78,7035.266,6981.68
2017-09-18,7015.921,7012.95,7068.725,7012.95
2017-09-19,7028.477,7010.646,7052.898,6986.96
2017-09-20,7002.759,7003.001,7030.253,6994.779
2017-09-21,7006.688,7032.566,7068.21,6998.31
2017-09-22,7012.213,7055.75,7062.107,7010.851
2017-09-25,7037.154,7037.532,7055.482,7013.267
2017-09-26,7018.404,7023.446,7039.006,7006.055
2017-09-27,7015.721,7000.084,7023.942,6994.877
2017-09-28,7002.705,6979.488,7002.705,6964.655
2017-09-29,6979.475,6998.024,7022.392,6979.104
2017-10-09,7168.564,7078.515,7185.613,7066.291
2017-10-10,7083.002,7086.729,7122.115,7011.574
2017-10-11,7079.026,7119.404,7148.496,7076.835
2017-10-12,7119.342,7154.242,7169.674,7115.243
2017-10-13,7152.744,7147.285,7173.489,7145.462
2017-10-16,7160.036,7162.157,7210.209,7150.077
2017-10-17,7161.049,7172.888,7194.759,7142.157
2017-10-18,7178.625,7252.126,7253.543,7170.279
2017-10-19,7242.771,7254.075,7260.269,7227.185
2017-10-20,7225.257,7213.227,7231.538,7195.973
2017-10-23,7225.054,7196.395,7228.495,7190.036
2017-10-24,7190.313,7269.815,7282.54,7184.972
2017-10-25,7265.225,7287.938,7296.21,7258.956
2017-10-26,7284.678,7293.566,7353.023,7266.641
2017-10-27,7299.758,7398.207,7402.684,7298.136
2017-10-30,7401.147,7407.764,7433.167,7316.761
2017-10-31,7378.852,7363.517,7378.854,7337.164
2017-11-01,7367.461,7337.655,7426.271,7319.366
2017-11-02,7334.471,7352.39,7358.465,7280.87
2017-11-03,7336.681,7337.386,7345.352,7269.716
2017-11-06,7323.88,7326.76,7331.47,7266.418
2017-11-07,7335.275,7420.479,7434.147,7333.987
2017-11-08,7417.032,7407.461,7502.398,7388.259
2017-11-09,7399.596,7458.107,7459.945,7392.157
2017-11-10,7445.701,7527.178,7534.16,7439.868
2017-11-13,7541.178,7567.63,7606.508,7541.178
2017-11-14,7571.69,7545.12,7585.415,7517.229
2017-11-15,7512.225,7522.066,7552.103,7486.898
2017-11-16,7498.95,7579.148,7581.818,7494.447
2017-11-17,7567.7,7747.508,7751.196,7565.011
2017-11-20,7693.666,7783.135,7784.862,7642.385
2017-11-21,7758.539,7945.838,7989.513,7755.702
2017-11-22,7985.605,8012.442,8073.967,7940.128
2017-11-23,7991.22,7792.879,8021.263,7739.096
2017-11-24,7777.967,7810.619,7819.321,7692.591
2017-11-27,7775.646,7730.644,7775.646,7650.29
2017-11-28,7677.119,7665.642,7699.942,7594.84
2017-11-29,7684.627,7674.445,7709.121,7571.183
2017-11-30,7636.237,7586.679,7666.618,7545.51
2017-12-01,7577.855,7516.747,7597.35,7504.558
2017-12-04,7492.034,7565.144,7584.212,7475.458
2017-12-05,7540.675,7691.595,7721.701,7538.15
2017-12-06,7659.353,7592.995,7659.353,7505.879
2017-12-07,7568.341,7493.665,7597.008,7450.247
2017-12-08,7484.093,7546.738,7569.903,7457.093
2017-12-11,7544.574,7654.168,7655.789,7531.031
2017-12-12,7644.606,7525.891,7656.223,7524.123
2017-12-13,7525.766,7596.995,7611.629,7492.742
2017-12-14,7600.233,7541.275,7613.322,7515.854
2017-12-15,7525.894,7445.45,7525.894,7434.366
2017-12-18,7450.266,7482.541,7515.773,7446.673
2017-12-19,7482.466,7607.861,7611.371,7480.136
2017-12-20,7605.87,7599.2,7636.59,7556.71
2017-12-21,7582.36,7663.66,7694.53,7563.41
2017-12-22,7652.76,7631.51,7670.85,7615.52
2017-12-25,7634.97,7643.5,7737.58,7609.15
2017-12-26,7640.57,7672.47,7679.14,7607.23
2017-12-27,7652.67,7526.62,7661.89,7509.86
2017-12-28,7521.16,7546.09,7584.9,7488.72
2017-12-29,7556.78,7563.18,7601.67,7534.53
2018-01-02,7590.23,7718.7,7730.86,7590.23
2018-01-03,7732.51,7711.2,7815.98,7693.21
2018-01-04,7726.64,7730.14,7757.81,7695.28
2018-01-05,7745.91,7788.41,7815.93,7725.91
2018-01-08,7805.92,7828.97,7855.17,7791.04
2018-01-09,7826.84,7867.98,7880.31,7813.25
2018-01-10,7862.5,7963.49,7974.67,7859.18
2018-01-11,7938.37,7956.72,8001.6,7906.64
2018-01-12,7959.88,8036.93,8038.76,7954.09
2018-01-15,8057.16,8152.75,8207.69,8057.16
2018-01-16,8134.41,8210.4,8216.5,8116.56
2018-01-17,8226.27,8223.23,8376.95,8176.48
2018-01-18,8266.98,8311.81,8341.15,8237.49
2018-01-19,8353.25,8327.23,8421.97,8281.12
2018-01-22,8294.99,8402.26,8429.52,8294.77
2018-01-23,8436.0,8532.15,8535.18,8435.04
2018-01-24,8560.08,8524.73,8595.08,8458.56
2018-01-25,8498.75,8465.36,8508.56,8361.64
2018-01-26,8445.53,8529.28,8590.75,8439.47
2018-01-29,8550.97,8408.49,8594.23,8361.63
2018-01-30,8373.37,8266.14,8406.35,8256.79
2018-01-31,8226.32,8370.73,8372.42,8222.17
2018-02-01,8378.9,8424.2,8426.19,8305.38
2018-02-02,8349.21,8468.22,8470.44,8272.86
2018-02-05,8342.31,8570.85,8570.85,8336.13
2018-02-06,8384.52,8379.54,8438.25,8304.17
2018-02-07,8469.31,8104.65,8520.22,8092.86
2018-02-08,8027.15,7902.9,8086.15,7807.27
2018-02-09,7663.53,7551.84,7695.65,7330.97
2018-02-12,7537.58,7572.53,7617.47,7476.79
2018-02-13,7651.88,7701.94,7809.9,7651.88
2018-02-14,7717.82,7780.86,7791.37,7675.74
2018-02-22,7909.03,7928.54,7948.73,7864.45
2018-02-23,7948.41,7985.87,8018.2,7908.71
2018-02-26,8034.06,8026.99,8066.9,7919.04
2018-02-27,8033.86,7852.26,8033.86,7829.57
2018-02-28,7774.54,7748.31,7817.68,7707.87
2018-03-01,7690.4,7773.27,7820.45,7676.03
2018-03-02,7698.11,7724.41,7773.72,7671.78
2018-03-05,7726.01,7715.92,7780.35,7670.69
2018-03-06,7757.6,7796.88,7799.29,7652.33
2018-03-07,7804.98,7779.44,7887.25,7758.82
2018-03-08,7789.81,7859.2,7861.1,7758.19
2018-03-09,7884.61,7882.62,7906.44,7845.84
2018-03-12,7926.96,7884.0,7939.08,7857.49
2018-03-13,7882.59,7834.98,7924.63,7822.74
2018-03-14,7799.28,7786.67,7811.6,7761.5
2018-03-15,7749.86,7833.86,7840.69,7749.48
2018-03-16,7832.79,7771.86,7869.33,7769.88
2018-03-19,7766.83,7807.09,7808.6,7717.0
2018-03-20,7754.83,7822.24,7830.56,7744.63
2018-03-21,7883.54,7790.89,7891.72,7755.7
2018-03-22,7793.0,7715.8,7810.46,7663.58
2018-03-23,7493.64,7538.74,7543.42,7409.8
2018-03-26,7457.57,7376.17,7467.68,7299.45
2018-03-27,7472.43,7377.0,7488.9,7325.79
2018-03-28,7294.41,7256.29,7384.6,7233.91
2018-03-29,7274.43,7405.39,7461.08,7163.28
2018-03-30,7395.43,7350.85,7414.63,7339.49
2018-04-02,7334.02,7307.1,7440.19,7302.08
2018-04-03,7244.95,7268.28,7303.72,7231.26
2018-04-04,7287.0,7265.56,7343.52,7249.27
2018-04-09,7270.06,7271.29,7299.46,7215.99
2018-04-10,7277.58,7467.69,7468.22,7260.16
2018-04-11,7474.04,7495.67,7545.3,7443.75
2018-04-12,7494.69,7396.15,7494.69,7390.03
2018-04-13,7442.69,7342.08,7458.57,7331.04
2018-04-16,7324.41,7157.3,7330.29,7127.85
2018-04-17,7167.54,7096.03,7205.31,7086.61
2018-04-18,7180.71,7138.84,7190.45,7065.8
2018-04-19,7157.67,7220.92,7242.5,7143.86
2018-04-20,7200.41,7156.67,7225.35,7112.83
2018-04-23,7137.57,7205.71,7219.59,7136.35
2018-04-24,7221.47,7358.23,7401.81,7221.47
2018-04-25,7318.82,7285.61,7339.45,7269.71
2018-04-26,7267.38,7160.81,7295.7,7120.5
2018-04-27,7192.27,7142.56,7199.88,7037.68
2018-05-02,7174.71,7150.86,7206.78,7116.03
2018-05-03,7129.13,7187.1,7202.19,7083.57
2018-05-04,7171.47,7134.03,7197.18,7125.64
2018-05-07,7148.21,7211.85,7215.98,7107.38
2018-05-08,7215.38,7328.33,7368.74,7212.75
2018-05-09,7325.59,7320.09,7337.64,7291.18
2018-05-10,7347.98,7341.98,7372.95,7299.43
2018-05-11,7361.73,7328.97,7365.63,7313.06
2018-05-14,7361.15,7409.12,7434.02,7359.03
2018-05-15,7427.91,7402.78,7432.44,7351.06
2018-05-16,7370.57,7310.62,7378.59,7302.67
2018-05-17,7318.56,7267.44,7327.33,7260.66
2018-05-18,7262.05,7366.13,7366.81,7235.26
2018-05-21,7400.71,7380.14,7419.75,7367.62
2018-05-22,7374.73,7313.53,7374.73,7271.53
2018-05-23,7295.88,7210.22,7295.88,7210.22
2018-05-24,7213.36,7156.21,7225.4,7150.61
2018-05-25,7152.65,7155.46,7192.01,7126.93
2018-05-28,7159.84,7182.14,7208.69,7130.27
2018-05-29,7162.27,7153.78,7173.8,7083.94
2018-05-30,7063.4,6995.84,7073.73,6995.04
