,0,1
835,603016.XSHG,21.84
836,600446.XSHG,9.49
837,600117.XSHG,4.67
838,300401.XSHE,16.39
839,300121.XSHE,10.96
840,603906.XSHG,9.28
841,600881.XSHG,3.6
842,603825.XSHG,15.4
843,000955.XSHE,4.56
844,002306.XSHE,2.9
845,000498.XSHE,3.96
846,600298.XSHG,27.19
847,601636.XSHG,4.33
848,600892.XSHG,8.33
849,300429.XSHE,23.92
850,600678.XSHG,10.24
851,002790.XSHE,9.98
852,600601.XSHG,2.8
853,002642.XSHE,8.56
854,002063.XSHE,6.19
855,600723.XSHG,6.72
856,002792.XSHE,28.0
857,300493.XSHE,9.47
858,600824.XSHG,3.48
859,000725.XSHE,3.38
860,603105.XSHG,18.98
861,300328.XSHE,6.85
862,600136.XSHG,11.08
863,300236.XSHE,24.39
864,601869.XSHG,48.94
865,300078.XSHE,9.69
866,002080.XSHE,7.87
867,000528.XSHE,11.15
868,603938.XSHG,25.6
869,601880.XSHG,1.94
870,300229.XSHE,10.3
871,300363.XSHE,8.97
872,002657.XSHE,14.92
873,000607.XSHE,4.29
874,002726.XSHE,7.23
875,603398.XSHG,13.36
876,600533.XSHG,2.99
877,300195.XSHE,9.64
878,002858.XSHE,14.5
879,000670.XSHE,3.92
880,603429.XSHG,30.08
881,300027.XSHE,5.51
882,002149.XSHE,6.61
883,600967.XSHG,13.71
884,600753.XSHG,15.69
885,002462.XSHE,17.96
886,300110.XSHE,4.33
887,000036.XSHE,5.17
888,300529.XSHE,43.75
889,601919.XSHG,4.03
890,000759.XSHE,6.56
891,600186.XSHG,2.0
892,600999.XSHG,12.88
893,002465.XSHE,8.25
894,000600.XSHE,5.29
895,002725.XSHE,7.93
896,600900.XSHG,15.96
897,600287.XSHG,5.13
898,002692.XSHE,3.19
899,600775.XSHG,5.79
900,000034.XSHE,13.5
901,603396.XSHG,29.68
902,300278.XSHE,6.53
903,300469.XSHE,19.18
904,600836.XSHG,3.83
905,000529.XSHE,5.09
906,600495.XSHG,4.45
907,002840.XSHE,14.5
908,603779.XSHG,13.91
909,603085.XSHG,13.35
910,002542.XSHE,4.72
911,600754.XSHG,24.25
912,600978.XSHG,5.53
913,603883.XSHG,62.82
914,002261.XSHE,4.24
915,002538.XSHE,4.74
916,300560.XSHE,18.61
917,300225.XSHE,5.1
918,600512.XSHG,2.3
919,600617.XSHG,5.52
920,000800.XSHE,6.48
921,300309.XSHE,18.88
922,600113.XSHG,7.88
923,603336.XSHG,23.85
924,002925.XSHE,43.87
925,000623.XSHE,16.37
926,300656.XSHE,23.74
927,002742.XSHE,8.63
928,002505.XSHE,1.83
929,600139.XSHG,4.33
930,300087.XSHE,9.93
931,300169.XSHE,4.17
932,600795.XSHG,2.55
933,002504.XSHE,3.21
934,000859.XSHE,3.0
935,002611.XSHE,5.25
936,600405.XSHG,4.51
937,002696.XSHE,9.6
938,600908.XSHG,5.74
939,300359.XSHE,7.05
940,600382.XSHG,10.12
941,603301.XSHG,35.72
942,000573.XSHE,3.22
943,002128.XSHE,8.44
944,601086.XSHG,6.9
945,002385.XSHE,3.35
946,000501.XSHE,10.05
947,600346.XSHG,16.01
948,002300.XSHE,5.68
949,300197.XSHE,5.37
950,603308.XSHG,10.43
951,600051.XSHG,6.03
952,603260.XSHG,59.58
953,000752.XSHE,6.86
954,600515.XSHG,5.99
955,000667.XSHE,2.29
956,600595.XSHG,2.49
957,002662.XSHE,4.26
958,300743.XSHE,51.95
959,002793.XSHE,12.21
960,600503.XSHG,3.56
961,002020.XSHE,12.09
962,600103.XSHG,2.99
963,300059.XSHE,12.76
964,002670.XSHE,10.43
965,600036.XSHG,28.14
966,603076.XSHG,27.49
967,600655.XSHG,7.17
968,300166.XSHE,12.3
969,002511.XSHE,8.49
970,600688.XSHG,5.53
971,000430.XSHE,6.37
972,000608.XSHE,4.51
973,600209.XSHG,3.53
974,600641.XSHG,10.08
975,300147.XSHE,7.03
976,300591.XSHE,6.01
977,002674.XSHE,7.11
978,601997.XSHG,11.76
979,300566.XSHE,16.09
980,603776.XSHG,22.12
981,002678.XSHE,6.13
982,000558.XSHE,3.2
983,000923.XSHE,16.02
984,603803.XSHG,10.03
985,603889.XSHG,9.16
986,300267.XSHE,3.75
987,600076.XSHG,4.56
988,601727.XSHG,4.93
989,000790.XSHE,4.78
990,000505.XSHE,5.74
991,000333.XSHE,41.73
992,603322.XSHG,25.12
993,300178.XSHE,11.53
994,002703.XSHE,4.48
995,603811.XSHG,28.34
996,000413.XSHE,5.33
